,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
51,"[[0], [3, 4, 2, 2, 2, 3, 3, 0, 1, 3, 4, 4, 3, 3, 0, 1, 3, 1, 3, 3, 3], [4, 1, 4, 0, 2, 2], [4, 1, 0, 0], [0, 2, 2, 0, 0, 2, 2, 2, 1], [1]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
52,"[[0], [3], [], [4, 1], [0, 2, 1, 2, 0, 0, 1, 2], [2]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
53,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
54,"[[0], [3], [], [3, 3, 1, 1, 4, 1], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
55,"[[0], [3], [], [4, 3, 2], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
56,"[[0], [3], [], [1, 1], [0, 2, 0, 0, 1, 0, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
57,"[[0], [3], [], [], [0, 0], [5]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
58,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
59,"[[0], [3], [1, 4, 2, 1], [], [0], [3, 0]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
60,"[[0], [3], [], [1, 1], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
